Date,Year,Month,Event,Event_Type,Total_Tourist_Arrivals,Domestic_Tourists,International_Tourists,Hotel_Occupancy(%),Average_Stay_Duration(days),Tourism_Revenue(INR),Cruise_Arrivals,Airport_Footfall,Temperature(C),Rainfall(mm),Flight_Delays,Monsoon_Impact_Flag,Most_Visited_Place,Agency_or_Package,Lag_1_Month,Lag_3_Month,Lag_6_Month,Moving_Average,Seasonal_Index
2023-02-22,2023,2,Onam Festival,Festival,52632,40525,12107,62.96,2.99,86844475.43,154,64210,27.27,141.0,12,0,Chottanikkara Temple,Government Package,51284,53678,35841,48358,1.15
2022-07-09,2022,7,Wedding Season,MICE,58711,42327,16384,93.7,2.19,92150995.37,64,67200,32.79,466.97,45,1,Lulu Mall,Self-Planned,63059,48756,52828,55838,0.87
2024-08-13,2024,8,No Major Event,None,102990,78618,24372,50.01,1.83,297964559.4,36,112183,27.79,251.83,9,0,Mattancherry Palace,Self-Planned,98961,94563,90436,96737,1.07
2024-05-16,2024,5,Cruise Season,Cruise Tourism,94867,70281,24586,81.34,1.78,181142585.01,1626,112738,26.05,397.93,5,1,Hill Palace,Travel Group,96155,88970,105025,96254,0.87
2024-01-08,2024,1,Cruise Season,Cruise Tourism,55370,44141,11229,90.45,3.6,67923171.61,2145,66633,24.2,459.81,14,1,Marine Drive,Private Agency,51213,46758,74656,56999,1.16
2023-11-18,2023,11,No Major Event,None,77100,50755,26345,60.74,3.91,136280485.51,132,93795,29.5,347.58,39,1,Fort Kochi,Travel Group,80190,83569,80221,80270,1.09
2022-06-20,2022,6,Wedding Season,MICE,77504,48453,29051,88.93,4.42,103616354.92,82,91693,32.23,145.64,35,0,Marine Drive,Government Package,80488,80073,73161,77806,1.04
2024-06-23,2024,6,Cruise Season,Cruise Tourism,109673,76846,32827,72.34,5.02,285737419.63,892,128898,25.44,17.61,9,0,Marine Drive,Travel Group,114031,110798,105716,110054,0.8
2024-01-24,2024,1,Peak Season,Tourism,72953,54611,18342,65.21,3.59,155269472.67,2493,86133,25.85,270.78,22,0,Fort Kochi,Self-Planned,71509,82270,84786,77879,1.09
2022-04-14,2022,4,Conference,MICE,129530,96577,32953,80.45,4.47,387245989.57,162,137116,31.78,425.79,19,1,Chottanikkara Temple,Travel Group,126402,136924,130887,130935,0.9
2022-12-09,2022,12,Monsoon Dip,Low Season,117796,91755,26041,77.73,2.14,278925922.11,74,127344,28.36,570.56,6,1,Hill Palace,Travel Group,115535,124629,128889,121712,0.84
2024-09-23,2024,9,Peak Season,Tourism,127581,95694,31887,85.89,1.77,175702664.98,1389,135906,32.41,141.92,1,0,Hill Palace,Government Package,125691,120610,128899,125695,0.85
2024-09-30,2024,9,Biennale,Arts & Cultural,88214,60085,28129,65.28,2.14,248482767.44,94,102899,29.98,37.92,40,0,Bolgatty Palace,Government Package,86426,96083,75550,86568,1.11
